episode,steps,reward
0,420,6.0
1,1131,7.0
2,1941,10.0
3,2827,11.0
4,3345,6.0
5,3990,7.0
6,4451,8.0
7,5248,12.0
8,5733,6.0
9,6372,10.0
10,7099,10.0
11,7687,7.0
12,8494,11.0
13,8873,3.0
14,9633,11.0
15,10029,5.0
16,11187,24.0
17,11992,15.0
18,12822,15.0
19,14315,13.0
20,14760,9.0
21,15241,2.0
22,16377,12.0
23,16738,9.0
24,17352,4.0
25,18007,10.0
26,18704,9.0
27,20204,26.0
28,21041,10.0
29,21681,9.0
30,22719,18.0
31,23606,17.0
32,24072,5.0
33,24998,16.0
34,25998,18.0
35,26683,14.0
36,27344,10.0
37,28075,9.0
38,28957,11.0
39,29961,17.0
40,30528,11.0
41,30903,4.0
42,31444,7.0
43,32539,20.0
44,33159,11.0
45,33872,10.0
46,34744,15.0
47,35335,8.0
48,36692,14.0
49,37204,6.0
50,37702,5.0
51,38215,6.0
52,39144,14.0
53,39830,9.0
54,40379,3.0
55,41052,9.0
56,41509,8.0
57,42492,13.0
58,43603,21.0
59,44355,9.0
60,44943,4.0
61,45449,7.0
62,45932,12.0
63,46799,12.0
64,47531,12.0
65,48592,17.0
66,49748,15.0
67,50435,10.0
68,51173,11.0
69,51671,7.0
70,52091,6.0
71,52560,7.0
72,52942,7.0
73,53759,9.0
74,54375,10.0
75,55023,6.0
76,55554,9.0
77,56237,12.0
78,56716,6.0
79,57257,7.0
80,58578,22.0
81,59091,5.0
82,59606,5.0
83,60193,9.0
84,60694,7.0
85,61802,21.0
86,62286,7.0
87,62665,8.0
88,63016,5.0
89,63535,7.0
90,63990,5.0
91,64352,6.0
92,65161,9.0
93,65975,13.0
94,66547,4.0
95,66938,2.0
96,67768,14.0
97,68409,10.0
98,68912,5.0
99,69301,7.0
100,69919,7.0
101,70430,8.0
102,71085,7.0
103,72008,12.0
104,73456,15.0
105,74057,5.0
106,74892,12.0
107,75379,5.0
108,76037,2.0
109,77116,16.0
110,77670,5.0
111,78841,14.0
112,80048,15.0
113,80872,7.0
114,81709,12.0
115,82474,13.0
116,82993,7.0
117,83609,10.0
118,84333,12.0
119,84954,7.0
120,85960,20.0
121,86361,7.0
122,87090,11.0
123,87489,6.0
124,88265,9.0
125,88937,7.0
126,89470,9.0
127,90052,5.0
128,90554,4.0
129,91367,9.0
130,92265,13.0
131,92911,6.0
132,94055,21.0
133,95113,13.0
134,95851,15.0
135,96451,6.0
136,96980,2.0
137,97689,10.0
138,98674,16.0
139,99335,10.0
140,99966,8.0
141,100605,5.0
142,100993,7.0
143,101601,7.0
144,102140,5.0
145,102667,6.0
146,103039,6.0
147,103555,7.0
148,104974,21.0
149,105600,6.0
150,106757,11.0
151,107514,11.0
152,108146,12.0
153,108722,9.0
154,109354,6.0
155,110165,11.0
156,110624,5.0
157,112175,15.0
158,113252,17.0
159,113905,11.0
160,114813,13.0
161,115405,5.0
162,116185,10.0
163,116672,6.0
164,117380,10.0
165,118454,16.0
166,119504,18.0
167,120370,12.0
168,120986,10.0
169,121496,6.0
170,122181,13.0
171,122923,9.0
172,123618,9.0
173,124412,10.0
174,125122,10.0
175,125513,3.0
176,126541,14.0
177,127461,15.0
178,128075,9.0
179,128778,7.0
180,129526,8.0
181,130724,14.0
182,131293,5.0
183,131961,8.0
184,132934,21.0
185,133849,14.0
186,134639,16.0
187,135250,13.0
188,136110,12.0
189,137069,14.0
190,137912,20.0
191,138783,16.0
192,139553,10.0
193,139962,3.0
194,140608,11.0
195,141002,4.0
196,141511,7.0
197,142199,11.0
198,142710,7.0
199,143899,27.0
200,144466,6.0
201,145539,15.0
202,146240,11.0
203,146660,9.0
204,147731,14.0
205,148308,8.0
206,149220,17.0
207,150187,13.0
208,150883,12.0
209,151551,12.0
210,152146,9.0
211,152560,3.0
212,153316,11.0
213,154002,9.0
214,154705,11.0
215,155097,5.0
216,155595,6.0
217,156012,6.0
218,156399,6.0
219,156834,8.0
220,157515,11.0
221,157896,6.0
222,159189,26.0
223,159901,13.0
224,160643,11.0
225,161035,6.0
226,161860,14.0
227,162369,6.0
228,163490,15.0
229,164152,11.0
230,164577,6.0
231,165095,7.0
232,165468,6.0
233,165967,6.0
234,166460,6.0
235,167144,11.0
236,167910,15.0
237,168517,11.0
238,168909,6.0
239,169405,5.0
240,170062,11.0
241,170708,12.0
242,171244,4.0
243,172431,24.0
244,173040,11.0
245,173654,8.0
246,174358,8.0
247,174845,5.0
248,175517,10.0
249,176186,13.0
250,176981,14.0
251,178093,16.0
252,178657,10.0
253,179290,5.0
254,179942,12.0
255,180627,14.0
256,181171,6.0
257,181729,6.0
258,182441,10.0
259,182953,6.0
260,183910,18.0
261,184485,7.0
262,185426,20.0
263,186092,6.0
264,187125,23.0
265,187535,9.0
266,188053,7.0
267,188688,9.0
268,189080,8.0
269,189434,5.0
270,190002,8.0
271,190780,16.0
272,191251,6.0
273,191633,8.0
274,192384,10.0
275,193084,12.0
276,194073,19.0
277,194722,9.0
278,195252,8.0
279,195756,5.0
280,196603,14.0
281,197189,10.0
282,197853,11.0
283,198529,12.0
284,198916,6.0
285,199674,12.0
286,200607,18.0
287,201326,10.0
288,201854,9.0
289,202570,15.0
290,203297,14.0
291,203667,8.0
292,204495,15.0
293,205287,14.0
294,205833,8.0
295,206511,9.0
296,207137,9.0
297,207626,7.0
298,208091,6.0
299,209288,16.0
300,210231,15.0
301,210978,13.0
302,211393,8.0
303,212355,13.0
304,212911,8.0
305,213322,6.0
306,213799,7.0
307,214199,5.0
308,214890,12.0
309,215954,17.0
310,216741,11.0
311,217366,10.0
312,217861,10.0
313,218789,18.0
314,219582,13.0
315,220080,6.0
316,220841,15.0
317,221559,15.0
318,221938,7.0
319,222451,7.0
320,223096,11.0
321,223672,9.0
322,224319,11.0
323,225196,20.0
324,225855,11.0
325,226740,18.0
326,227468,14.0
327,228009,8.0
328,228522,10.0
329,229149,10.0
330,230027,19.0
331,230743,10.0
332,231205,9.0
333,231918,13.0
334,232454,11.0
335,233433,16.0
336,233959,6.0
337,234586,9.0
338,235641,22.0
339,236018,10.0
340,236493,8.0
341,237019,9.0
342,237838,16.0
343,238457,12.0
344,238958,7.0
345,239712,16.0
346,240248,10.0
347,240877,10.0
348,241371,7.0
349,241922,7.0
350,242472,11.0
351,242892,5.0
352,243665,13.0
353,244499,17.0
354,245433,22.0
355,245817,4.0
356,246468,8.0
357,246987,9.0
358,247429,6.0
359,247836,6.0
360,248741,15.0
361,249124,4.0
362,250160,18.0
363,250632,9.0
364,251596,16.0
365,252242,12.0
366,252695,7.0
367,253232,8.0
368,254080,15.0
369,254430,5.0
370,254911,9.0
371,255948,17.0
372,256564,10.0
373,257349,12.0
374,258372,17.0
375,259139,13.0
376,259747,10.0
377,260687,16.0
378,261961,22.0
379,262779,13.0
380,263198,6.0
381,263709,6.0
382,264262,8.0
383,264938,12.0
384,265483,9.0
385,266048,11.0
386,266542,9.0
387,267271,14.0
388,267832,10.0
389,268575,14.0
390,269109,10.0
391,269504,7.0
392,270046,10.0
393,270696,10.0
394,271573,17.0
395,272231,9.0
396,273361,20.0
397,273872,9.0
398,274616,11.0
399,275213,9.0
400,275768,12.0
401,276225,7.0
402,276801,7.0
403,277686,17.0
404,278210,8.0
405,279096,19.0
406,279466,9.0
407,280262,13.0
408,280887,8.0
409,281436,10.0
410,282459,19.0
411,282987,9.0
412,283604,10.0
413,284067,7.0
414,284925,17.0
415,285806,15.0
416,286358,9.0
417,287219,22.0
418,287799,10.0
419,288449,10.0
420,288954,11.0
421,289761,13.0
422,290264,8.0
423,290911,11.0
424,291777,15.0
425,292308,7.0
426,292980,11.0
427,293697,10.0
428,294212,10.0
429,295000,13.0
430,295709,13.0
431,296527,14.0
432,297615,19.0
433,298089,6.0
434,298837,13.0
435,299364,9.0
436,300013,11.0
437,300876,15.0
438,301637,13.0
439,302261,10.0
440,303159,16.0
441,303756,12.0
442,304333,12.0
443,304960,8.0
444,305730,13.0
445,306374,9.0
446,306866,10.0
447,307530,11.0
448,308186,10.0
449,308855,11.0
450,309897,22.0
451,310700,16.0
452,311343,9.0
453,312288,20.0
454,312859,10.0
455,313292,6.0
456,314259,17.0
457,314739,9.0
458,315227,7.0
459,315953,10.0
460,316452,7.0
461,317078,9.0
462,317724,9.0
463,318562,15.0
464,319556,17.0
465,319957,6.0
