episode,steps,reward
0,420,6.0
1,1131,7.0
2,1941,10.0
3,2827,11.0
4,3345,6.0
5,3947,10.0
6,4742,15.0
7,6127,26.0
8,6953,12.0
9,7595,9.0
10,8379,8.0
11,8886,3.0
12,9518,9.0
13,10222,9.0
14,11478,15.0
15,11923,7.0
16,12362,6.0
17,13065,10.0
18,13444,4.0
19,14409,13.0
20,15389,17.0
21,15963,5.0
22,16609,11.0
23,17109,7.0
24,17729,6.0
25,18891,21.0
26,19505,6.0
27,20008,8.0
28,20985,15.0
29,21500,9.0
30,22336,14.0
31,23002,9.0
32,23404,4.0
33,23787,5.0
34,24957,29.0
35,25567,9.0
36,26102,4.0
37,26749,7.0
38,27389,9.0
39,27801,4.0
40,28619,12.0
41,29100,5.0
42,30430,15.0
43,30915,6.0
44,31393,6.0
45,31889,3.0
46,32302,5.0
47,32700,7.0
48,33679,11.0
49,34219,7.0
50,34803,6.0
51,35183,6.0
52,35975,13.0
53,37371,26.0
54,38097,11.0
55,38574,10.0
56,39370,9.0
57,40450,17.0
58,41236,11.0
59,41963,7.0
60,42585,7.0
61,43608,15.0
62,44246,8.0
63,44919,11.0
64,46020,19.0
65,47064,15.0
66,47792,8.0
67,48392,7.0
68,48984,6.0
69,49560,6.0
70,50207,6.0
71,51494,10.0
72,51895,7.0
73,52387,5.0
74,53009,11.0
75,53701,7.0
76,54729,11.0
77,55487,10.0
78,55844,7.0
79,56623,12.0
80,57612,12.0
81,58399,12.0
82,59185,11.0
83,59750,3.0
84,60431,7.0
85,61070,9.0
86,61443,8.0
87,62013,10.0
88,62844,10.0
89,63493,10.0
90,64291,12.0
91,64943,10.0
92,65522,7.0
93,65911,5.0
94,66566,8.0
95,67497,11.0
96,68221,13.0
97,68889,6.0
98,69507,8.0
99,70144,7.0
100,70536,7.0
101,71176,6.0
102,71954,11.0
103,72351,4.0
104,73017,6.0
105,73843,15.0
106,74516,10.0
107,75241,11.0
108,75718,5.0
109,76208,0.0
110,76927,11.0
111,77501,6.0
112,78120,6.0
113,78790,9.0
114,79460,10.0
115,79841,5.0
116,80726,21.0
117,81519,10.0
118,82179,5.0
119,82692,9.0
120,83103,5.0
121,83624,7.0
122,84195,8.0
123,84535,4.0
124,85029,8.0
125,85726,6.0
126,86417,14.0
127,87111,8.0
128,88084,16.0
129,88995,18.0
130,89604,10.0
131,90000,5.0
132,90637,8.0
133,90942,3.0
134,92101,18.0
135,92871,15.0
136,93426,7.0
137,94498,11.0
138,95466,19.0
139,95979,6.0
140,96623,7.0
141,97296,8.0
142,97962,6.0
143,98694,13.0
144,99203,5.0
145,99605,7.0
146,100366,12.0
147,100995,6.0
148,101345,5.0
149,101742,5.0
150,102127,7.0
151,102670,8.0
152,103058,5.0
153,103485,7.0
154,104296,11.0
155,104947,5.0
156,105900,14.0
157,107035,12.0
158,108088,21.0
159,108723,9.0
160,109363,9.0
161,110740,21.0
162,111124,6.0
163,111746,4.0
164,112466,11.0
165,113286,12.0
166,114459,25.0
167,115655,26.0
168,116321,7.0
169,116816,5.0
170,117871,18.0
171,118529,10.0
172,119559,18.0
173,120233,11.0
174,120868,8.0
175,121619,9.0
176,122250,9.0
177,122885,10.0
178,123590,12.0
179,124405,14.0
180,125872,27.0
181,126643,10.0
182,127286,9.0
183,127856,7.0
184,128533,12.0
185,129433,14.0
186,129903,9.0
187,130555,7.0
188,131223,10.0
189,131630,7.0
190,132315,12.0
191,132718,3.0
192,133271,9.0
193,133956,10.0
194,134471,9.0
195,134926,7.0
196,135999,18.0
197,136722,13.0
198,137123,6.0
199,138007,16.0
200,138913,16.0
201,139314,6.0
202,140104,13.0
203,141218,19.0
204,142181,15.0
205,142668,7.0
206,143276,6.0
207,143656,5.0
208,144020,6.0
209,144558,7.0
210,145055,4.0
211,145585,6.0
212,146196,9.0
213,147019,12.0
214,148043,18.0
215,148995,18.0
216,149932,15.0
217,150651,12.0
218,151090,7.0
219,151892,14.0
220,152274,4.0
221,153496,24.0
222,154324,14.0
223,154934,6.0
224,156075,17.0
225,156568,5.0
226,157342,12.0
227,157976,9.0
228,158392,5.0
229,159270,15.0
230,159791,7.0
231,160308,10.0
232,160674,3.0
233,161339,8.0
234,161839,5.0
235,162362,8.0
236,163044,10.0
237,163578,9.0
238,164216,10.0
239,164723,5.0
240,165231,10.0
241,165883,11.0
242,166541,12.0
243,167108,11.0
244,167624,10.0
245,168129,4.0
246,169055,23.0
247,170142,19.0
248,170917,11.0
249,171562,14.0
250,171954,8.0
251,173154,26.0
252,173571,7.0
253,174287,12.0
254,174745,5.0
255,175245,8.0
256,176182,14.0
257,176809,10.0
258,177760,9.0
259,178591,10.0
260,178981,6.0
261,180063,23.0
262,180658,6.0
263,181316,10.0
264,182050,12.0
265,182709,12.0
266,183107,7.0
267,183482,4.0
268,184153,9.0
269,185282,18.0
270,185806,7.0
271,186556,14.0
272,187097,11.0
273,187747,12.0
274,188264,8.0
275,189103,18.0
276,189579,11.0
277,190377,14.0
278,191040,11.0
279,191827,13.0
280,192787,25.0
281,193441,11.0
282,194053,10.0
283,194958,18.0
284,195574,8.0
285,196440,16.0
286,196932,9.0
287,197304,6.0
288,197952,11.0
289,198369,7.0
290,198861,6.0
291,199341,3.0
292,199833,9.0
293,200639,18.0
294,201040,6.0
295,201619,11.0
296,202290,10.0
297,203401,17.0
298,204072,12.0
299,204681,11.0
300,205549,15.0
301,206302,17.0
302,207358,16.0
303,207867,6.0
304,208417,9.0
305,208796,5.0
306,209187,9.0
307,209879,7.0
308,210387,9.0
309,211041,12.0
310,211975,16.0
311,212518,12.0
312,213223,11.0
313,213731,9.0
314,214650,18.0
315,215222,11.0
316,215978,15.0
317,216472,7.0
318,217577,19.0
319,218198,9.0
320,219324,24.0
321,220028,15.0
322,221145,20.0
323,221658,10.0
324,222473,17.0
325,223026,10.0
326,223548,9.0
327,224088,9.0
328,224660,6.0
329,225163,8.0
330,225866,12.0
331,226547,12.0
332,227087,11.0
333,227671,10.0
334,228143,7.0
335,228763,8.0
336,229393,15.0
337,230376,22.0
338,231117,14.0
339,231809,11.0
340,232292,11.0
341,232800,7.0
342,233445,10.0
343,234368,21.0
344,234993,11.0
345,236154,17.0
346,236723,10.0
347,237506,15.0
348,238203,11.0
349,238914,10.0
350,239830,19.0
351,240532,12.0
352,241102,12.0
353,241770,12.0
354,242660,21.0
355,243158,9.0
356,244055,15.0
357,244826,16.0
358,245809,21.0
359,246626,20.0
360,247569,17.0
361,248088,8.0
362,249173,17.0
363,249760,12.0
364,250676,20.0
365,251227,9.0
366,251977,14.0
367,252510,11.0
368,253206,16.0
369,254163,15.0
370,254842,12.0
371,255662,14.0
372,256369,17.0
373,257474,25.0
374,258283,17.0
375,258912,11.0
376,259486,11.0
377,260408,18.0
378,261160,18.0
379,261922,16.0
380,262613,14.0
381,263270,10.0
382,264145,15.0
383,264715,12.0
384,265330,10.0
385,265904,10.0
386,266562,14.0
387,267247,14.0
388,267842,9.0
389,268789,24.0
390,269408,8.0
391,270370,17.0
392,271209,15.0
393,271709,6.0
394,272505,16.0
395,273353,18.0
396,274847,32.0
397,275731,20.0
398,276529,18.0
399,277253,14.0
400,278284,20.0
401,279046,15.0
402,279823,18.0
403,280805,18.0
404,281339,8.0
405,281870,11.0
406,282720,15.0
407,283247,10.0
408,283895,10.0
409,284595,11.0
410,285159,11.0
411,286008,19.0
412,287605,31.0
413,288199,8.0
414,288890,11.0
415,289432,10.0
416,289892,4.0
417,290847,22.0
418,291198,3.0
419,291880,13.0
420,293047,25.0
421,293558,10.0
422,294143,12.0
423,294661,5.0
424,295698,21.0
425,296107,7.0
426,296722,10.0
427,298166,23.0
428,298679,10.0
429,299279,12.0
430,299803,8.0
431,300285,7.0
432,301065,21.0
433,301686,12.0
434,302525,16.0
435,303087,11.0
436,303736,11.0
437,304715,20.0
438,305368,10.0
439,306082,12.0
440,306920,19.0
441,307771,18.0
442,308542,17.0
443,309391,16.0
444,310518,24.0
445,311363,16.0
446,311864,6.0
447,312530,8.0
448,313204,11.0
449,313894,10.0
450,314431,8.0
451,315690,26.0
452,316975,22.0
453,317486,8.0
454,318429,15.0
455,319066,12.0
456,319662,7.0
457,320390,12.0
458,321107,16.0
459,321927,14.0
460,322986,22.0
461,323775,17.0
462,324204,7.0
463,325288,20.0
464,326921,35.0
465,327873,17.0
