episode,steps,reward
0,420,6.0
1,1131,7.0
2,1941,10.0
3,2809,11.0
4,3730,17.0
5,4382,9.0
6,4891,9.0
7,5296,6.0
8,6258,15.0
9,6895,8.0
10,7291,9.0
11,7854,7.0
12,8879,19.0
13,9454,11.0
14,9856,8.0
15,10529,7.0
16,11441,15.0
17,11840,6.0
18,12667,13.0
19,13678,11.0
20,14456,11.0
21,15366,21.0
22,16139,13.0
23,16529,7.0
24,17013,2.0
25,17980,17.0
26,18659,9.0
27,19182,3.0
28,19872,10.0
29,20439,3.0
30,21282,7.0
31,21829,8.0
32,22881,9.0
33,23398,6.0
34,23951,4.0
35,24800,15.0
36,25318,8.0
37,25781,5.0
38,26294,3.0
39,26867,6.0
40,27521,9.0
41,28228,8.0
42,29165,12.0
43,29986,12.0
44,30602,9.0
45,31418,11.0
46,32226,12.0
47,32814,4.0
48,33342,5.0
49,34274,9.0
50,35100,17.0
51,35921,13.0
52,36428,5.0
53,37141,10.0
54,37501,3.0
55,38264,12.0
56,38921,8.0
57,39505,7.0
58,40154,6.0
59,40972,10.0
60,41707,7.0
61,42319,10.0
62,42800,5.0
63,43743,13.0
64,44674,16.0
65,45565,16.0
66,46125,11.0
67,46797,10.0
68,47622,11.0
69,48238,7.0
70,48859,7.0
71,49663,10.0
72,50800,19.0
73,51343,9.0
74,51837,9.0
75,52240,6.0
76,52831,10.0
77,53469,9.0
78,53921,2.0
79,54543,9.0
80,55454,13.0
81,56204,12.0
82,56953,10.0
83,57586,6.0
84,57997,4.0
85,58396,3.0
86,59207,12.0
87,60338,20.0
88,61289,19.0
89,62069,12.0
90,62530,3.0
91,63290,8.0
92,63670,6.0
93,64440,14.0
94,64958,8.0
95,65763,12.0
96,66403,7.0
97,67057,10.0
98,67987,13.0
99,68530,4.0
100,69439,13.0
101,70571,15.0
102,71216,8.0
103,71727,6.0
104,72327,7.0
105,72756,5.0
106,73437,10.0
107,74078,9.0
108,74866,10.0
109,75574,7.0
110,76111,8.0
111,76809,8.0
112,77594,11.0
113,78141,7.0
114,79090,10.0
115,79594,7.0
116,80401,12.0
117,81235,12.0
118,82047,10.0
119,82665,7.0
120,83227,5.0
121,83697,7.0
122,84428,9.0
123,85387,20.0
124,85935,8.0
125,86548,7.0
126,87157,7.0
127,87512,5.0
128,88379,15.0
129,89076,7.0
130,89890,12.0
131,90544,10.0
132,91069,3.0
133,91558,8.0
134,92272,10.0
135,92758,1.0
136,93572,12.0
137,93956,3.0
138,94607,11.0
139,95486,11.0
140,95999,8.0
141,96541,7.0
142,97047,6.0
143,97879,11.0
144,98501,4.0
145,99614,10.0
146,100125,6.0
147,100706,7.0
148,101305,8.0
149,101942,9.0
150,102720,11.0
151,103246,7.0
152,103998,9.0
153,104513,7.0
154,105222,10.0
155,105735,9.0
156,106149,4.0
157,107012,11.0
158,107848,18.0
159,108653,10.0
160,109648,23.0
161,110209,8.0
162,110975,8.0
163,111596,11.0
164,112499,18.0
165,113295,12.0
166,113696,4.0
167,114434,12.0
168,114957,7.0
169,115635,10.0
170,116122,5.0
171,116813,8.0
172,117951,18.0
173,118624,7.0
174,119414,11.0
175,119812,4.0
176,120521,9.0
177,121434,12.0
178,122071,9.0
179,122723,13.0
180,123307,5.0
181,123922,12.0
182,124309,4.0
183,124843,5.0
184,125501,7.0
185,126108,8.0
186,126618,5.0
187,127522,10.0
188,128110,10.0
189,128736,8.0
190,129431,11.0
191,129826,6.0
192,130223,5.0
193,130745,4.0
194,131373,6.0
195,132134,6.0
196,132508,8.0
197,133214,10.0
198,133723,7.0
199,134451,10.0
200,134878,6.0
201,135415,9.0
202,135802,7.0
203,136229,8.0
204,136675,5.0
205,137348,6.0
206,137881,6.0
207,138857,24.0
208,139814,12.0
209,140284,6.0
210,140866,8.0
211,141759,14.0
212,142372,10.0
213,143052,7.0
214,143827,8.0
215,144369,9.0
216,144985,4.0
217,145676,11.0
218,146379,12.0
219,147012,8.0
220,147411,5.0
221,147943,7.0
222,148629,11.0
223,149135,9.0
224,149591,9.0
225,150133,3.0
226,150590,5.0
227,151150,9.0
228,151782,5.0
229,152537,6.0
230,152903,9.0
231,153746,15.0
232,154520,16.0
233,155159,7.0
234,156484,17.0
235,157188,7.0
236,157976,10.0
237,158672,11.0
238,159087,9.0
239,159913,11.0
240,161149,14.0
241,161872,6.0
242,162733,17.0
243,163412,11.0
244,164026,7.0
245,164873,12.0
246,165736,12.0
247,166394,8.0
248,167034,9.0
249,167737,9.0
250,168289,6.0
251,169128,11.0
252,169803,11.0
253,170861,18.0
254,171442,9.0
255,171978,7.0
256,172376,7.0
257,172860,4.0
258,173258,6.0
259,174393,15.0
260,175014,7.0
261,175820,13.0
262,176693,14.0
263,177672,17.0
264,178182,5.0
265,178664,5.0
266,179330,7.0
267,179995,10.0
268,181208,20.0
269,181611,4.0
270,182694,17.0
271,183085,3.0
272,183777,11.0
273,184628,9.0
274,185313,11.0
275,185873,7.0
276,186494,9.0
277,187475,15.0
278,187876,3.0
279,188684,6.0
280,189232,9.0
281,190295,14.0
282,191708,13.0
283,192163,6.0
284,193085,11.0
285,193801,12.0
286,194543,8.0
287,195474,14.0
288,196333,14.0
289,196763,5.0
290,197435,9.0
291,197969,6.0
292,198597,3.0
293,199463,10.0
294,200040,8.0
295,200751,11.0
296,201461,10.0
297,202464,15.0
298,203022,8.0
299,204017,12.0
300,204556,7.0
301,205155,6.0
302,205845,15.0
303,206605,9.0
304,207273,8.0
305,207662,7.0
306,208735,17.0
307,209812,17.0
308,210413,6.0
309,211058,4.0
310,211719,7.0
311,212309,8.0
312,212803,8.0
313,213373,7.0
314,214060,10.0
315,214803,12.0
316,215289,4.0
317,216061,8.0
318,216735,8.0
319,217490,10.0
320,217938,5.0
321,218446,9.0
322,219045,7.0
323,219739,11.0
324,220639,9.0
325,221196,1.0
326,221971,5.0
327,222664,9.0
328,223465,10.0
329,224154,6.0
330,224790,8.0
331,225571,12.0
332,226371,13.0
333,227003,8.0
334,227395,7.0
335,228195,5.0
336,228621,7.0
337,229250,9.0
338,229643,7.0
339,230350,10.0
340,230944,12.0
341,231782,12.0
342,232170,4.0
343,232891,9.0
344,233588,14.0
345,234218,7.0
346,235371,10.0
347,235897,4.0
348,236214,3.0
349,236925,9.0
350,237410,5.0
351,238209,10.0
352,239202,12.0
353,239842,9.0
354,240361,9.0
355,241043,7.0
356,241959,12.0
357,242630,10.0
358,243290,11.0
359,244005,9.0
360,244444,3.0
361,245069,8.0
362,245559,4.0
363,246779,16.0
364,247380,4.0
365,248032,6.0
366,248760,11.0
367,249260,5.0
368,249675,4.0
369,250392,9.0
370,250792,4.0
371,251511,7.0
372,252222,7.0
373,252910,6.0
374,253608,12.0
375,253999,5.0
376,254732,9.0
377,255254,9.0
378,256385,14.0
379,256775,7.0
380,257401,7.0
381,258103,8.0
382,258787,8.0
383,259561,8.0
384,260334,9.0
385,261016,8.0
386,261825,10.0
387,262870,15.0
388,263735,17.0
389,264416,10.0
390,265587,9.0
391,265941,3.0
392,266703,14.0
393,267398,11.0
394,268004,5.0
395,268614,5.0
396,269172,8.0
397,269616,3.0
398,270061,4.0
399,270449,7.0
400,270840,7.0
401,271319,8.0
402,271750,4.0
403,272395,7.0
404,273923,18.0
405,274314,4.0
406,274951,6.0
407,275517,8.0
408,276185,6.0
409,277058,13.0
410,278057,14.0
411,278408,4.0
412,278967,7.0
413,280084,16.0
414,280609,8.0
415,281069,6.0
416,282571,13.0
417,283334,11.0
418,284047,10.0
419,284693,8.0
420,285265,7.0
421,285670,5.0
422,286341,9.0
423,287072,11.0
424,287689,7.0
425,288358,10.0
426,288972,6.0
427,289619,9.0
428,290056,4.0
429,291020,16.0
430,292028,20.0
431,292579,4.0
432,293526,14.0
433,294044,6.0
434,294780,11.0
435,295460,10.0
436,295872,7.0
437,296408,7.0
438,297588,14.0
439,298001,5.0
440,298818,12.0
441,299480,7.0
442,299989,6.0
443,300516,6.0
444,301471,9.0
445,302137,10.0
446,302550,7.0
447,303624,11.0
448,304495,15.0
449,305104,7.0
450,305914,12.0
451,306863,18.0
452,307400,6.0
453,307913,1.0
454,308446,2.0
455,309551,21.0
456,309943,4.0
457,310438,7.0
458,311008,7.0
459,311695,6.0
460,312268,10.0
461,312738,5.0
462,313373,7.0
463,313952,6.0
464,314533,10.0
465,315285,9.0
