step,total_steps,episode,duration,episode_steps,steps_per_second,episode_reward,mean_reward,mean_action,loss,mae,mean_q,mean_eps
135415,6000000,202,9.035,537,59,9.000,0.017,2.402,0.007151,0.127239,0.159443,0.972971
135802,6000000,203,7.028,387,55,7.000,0.018,2.615,0.007582,0.134057,0.168682,0.972878
136229,6000000,204,7.261,427,59,8.000,0.019,2.426,0.006686,0.130950,0.164328,0.972797
136675,6000000,205,8.397,446,53,5.000,0.011,2.540,0.007572,0.133802,0.167704,0.972710
137348,6000000,206,13.206,673,51,6.000,0.009,2.478,0.007374,0.131255,0.165777,0.972598
137881,6000000,207,10.293,533,52,6.000,0.011,2.407,0.005797,0.127615,0.161419,0.972477
138857,6000000,208,17.118,976,57,24.000,0.025,2.419,0.006700,0.129476,0.161848,0.972326
139814,6000000,209,16.951,957,56,12.000,0.013,2.467,0.007500,0.129376,0.163651,0.972133
140284,6000000,210,8.409,470,56,6.000,0.013,2.487,0.006506,0.135796,0.169399,0.971990
140866,6000000,211,10.491,582,55,8.000,0.014,2.524,0.008224,0.145528,0.181311,0.971885
141759,6000000,212,15.112,893,59,14.000,0.016,2.538,0.007007,0.139179,0.173895,0.971738
142372,6000000,213,10.169,613,60,10.000,0.016,2.543,0.006957,0.141566,0.176231,0.971587
143052,6000000,214,11.268,680,60,7.000,0.010,2.493,0.006177,0.138553,0.175023,0.971458
143827,6000000,215,14.280,775,54,8.000,0.010,2.395,0.006631,0.136760,0.172060,0.971312
144369,6000000,216,10.122,542,54,9.000,0.017,2.659,0.007276,0.134766,0.169859,0.971180
144985,6000000,217,11.496,616,54,4.000,0.006,2.500,0.006410,0.138167,0.173199,0.971064
145676,6000000,218,11.730,691,59,11.000,0.016,2.546,0.006527,0.148307,0.185412,0.970934
146379,6000000,219,12.478,703,56,12.000,0.017,2.519,0.007061,0.150387,0.186865,0.970795
147012,6000000,220,10.917,633,58,8.000,0.013,2.520,0.005529,0.145788,0.180950,0.970661
147411,6000000,221,7.320,399,55,5.000,0.013,2.411,0.006833,0.149738,0.186063,0.970558
147943,6000000,222,9.028,532,59,7.000,0.013,2.711,0.007247,0.148420,0.185097,0.970465
148629,6000000,223,12.283,686,56,11.000,0.016,2.456,0.006301,0.145552,0.181373,0.970343
149135,6000000,224,9.505,506,53,9.000,0.018,2.605,0.006132,0.147905,0.184022,0.970224
149591,6000000,225,8.361,456,55,9.000,0.020,2.419,0.005916,0.147369,0.183524,0.970128
150133,6000000,226,10.655,542,51,3.000,0.006,2.494,0.006062,0.149936,0.185741,0.970028
150590,6000000,227,9.345,457,49,5.000,0.011,2.451,0.006033,0.171954,0.214311,0.969928
151150,6000000,228,11.467,560,49,9.000,0.016,2.402,0.007071,0.172654,0.213775,0.969826
151782,6000000,229,11.662,632,54,5.000,0.008,2.503,0.005937,0.169205,0.209380,0.969707
152537,6000000,230,13.815,755,55,6.000,0.008,2.485,0.006608,0.170739,0.212004,0.969568
152903,6000000,231,6.861,366,53,9.000,0.025,2.355,0.006278,0.170477,0.210958,0.969456
153746,6000000,232,15.397,843,55,15.000,0.018,2.540,0.007171,0.170938,0.212437,0.969335
154520,6000000,233,14.336,774,54,16.000,0.021,2.521,0.007417,0.174083,0.216698,0.969174
155159,6000000,234,11.960,639,53,7.000,0.011,2.426,0.008061,0.179882,0.223345,0.969032
156484,6000000,235,24.760,1325,54,17.000,0.013,2.448,0.006365,0.181359,0.227214,0.968836
157188,6000000,236,13.790,704,51,7.000,0.010,2.516,0.006381,0.182999,0.226744,0.968633
157976,6000000,237,14.818,788,53,10.000,0.013,2.495,0.006353,0.184159,0.228852,0.968484
158672,6000000,238,12.368,696,56,11.000,0.016,2.448,0.006397,0.180746,0.225598,0.968336
159087,6000000,239,7.795,415,53,9.000,0.022,2.359,0.004865,0.178616,0.222089,0.968224
159913,6000000,240,14.834,826,56,11.000,0.013,2.506,0.006952,0.183371,0.227523,0.968100
161149,6000000,241,22.300,1236,55,14.000,0.011,2.496,0.006727,0.197870,0.246003,0.967894
161872,6000000,242,12.302,723,59,6.000,0.008,2.491,0.006618,0.201614,0.249227,0.967698
162733,6000000,243,15.908,861,54,17.000,0.020,2.510,0.006883,0.201474,0.249034,0.967540
163412,6000000,244,13.718,679,49,11.000,0.016,2.462,0.008807,0.203930,0.253044,0.967386
164026,6000000,245,13.186,614,47,7.000,0.011,2.521,0.006974,0.201117,0.249520,0.967256
164873,6000000,246,15.784,847,54,12.000,0.014,2.430,0.007248,0.200389,0.247944,0.967110
165736,6000000,247,15.790,863,55,12.000,0.014,2.530,0.005671,0.205757,0.254497,0.966939
166394,6000000,248,12.983,658,51,8.000,0.012,2.518,0.005590,0.208590,0.259392,0.966787
167034,6000000,249,12.487,640,51,9.000,0.014,2.355,0.006898,0.208436,0.258052,0.966657
167737,6000000,250,14.203,703,49,9.000,0.013,2.459,0.004910,0.206132,0.255244,0.966523
168289,6000000,251,11.000,552,50,6.000,0.011,2.478,0.006731,0.209354,0.258691,0.966397
169128,6000000,252,17.051,839,49,11.000,0.013,2.460,0.006803,0.208651,0.259596,0.966258
169803,6000000,253,15.447,675,44,11.000,0.016,2.538,0.005930,0.205316,0.255607,0.966107
170861,6000000,254,21.885,1058,48,18.000,0.017,2.395,0.007987,0.218237,0.268621,0.965934
171442,6000000,255,11.831,581,49,9.000,0.015,2.491,0.006764,0.215745,0.266805,0.965770
171978,6000000,256,10.807,536,50,7.000,0.013,2.560,0.006121,0.218544,0.268903,0.965658
172376,6000000,257,8.366,398,48,7.000,0.018,2.402,0.007150,0.217932,0.268550,0.965565
172860,6000000,258,10.445,484,46,4.000,0.008,2.405,0.006233,0.216281,0.267172,0.965477
173258,6000000,259,7.619,398,52,6.000,0.015,2.477,0.008160,0.222382,0.273854,0.965388
174393,6000000,260,22.447,1135,51,15.000,0.013,2.524,0.006467,0.217617,0.268099,0.965235
175014,6000000,261,12.690,621,49,7.000,0.011,2.409,0.005703,0.217126,0.268207,0.965059
175820,6000000,262,18.140,806,44,13.000,0.016,2.501,0.007654,0.226163,0.279345,0.964917
176693,6000000,263,17.768,873,49,14.000,0.016,2.363,0.006279,0.223361,0.274604,0.964749
177672,6000000,264,20.010,979,49,17.000,0.017,2.482,0.006645,0.220438,0.271223,0.964564
178182,6000000,265,10.804,510,47,5.000,0.010,2.622,0.007405,0.223532,0.275253,0.964415
178664,6000000,266,9.159,482,53,5.000,0.010,2.533,0.006412,0.223145,0.275743,0.964316
179330,6000000,267,11.483,666,58,7.000,0.011,2.559,0.006492,0.223240,0.276281,0.964201
179995,6000000,268,11.204,665,59,10.000,0.015,2.405,0.007059,0.221175,0.273784,0.964068
181208,6000000,269,22.970,1213,53,20.000,0.016,2.549,0.007743,0.247720,0.304339,0.963880
181611,6000000,270,8.113,403,50,4.000,0.010,2.439,0.006357,0.247404,0.305465,0.963718
182694,6000000,271,19.825,1083,55,17.000,0.016,2.361,0.007275,0.246013,0.302025,0.963570
183085,6000000,272,6.868,391,57,3.000,0.008,2.465,0.008468,0.251266,0.310461,0.963422
183777,6000000,273,12.572,692,55,11.000,0.016,2.493,0.007035,0.249184,0.307788,0.963314
184628,6000000,274,15.047,851,57,9.000,0.011,2.548,0.007472,0.241713,0.297046,0.963160
185313,6000000,275,12.977,685,53,11.000,0.016,2.512,0.007181,0.244821,0.301119,0.963006
185873,6000000,276,10.338,560,54,7.000,0.013,2.457,0.006513,0.251681,0.309107,0.962881
186494,6000000,277,11.268,621,55,9.000,0.014,2.440,0.007050,0.250715,0.307083,0.962763
187475,6000000,278,18.967,981,52,15.000,0.015,2.493,0.006906,0.251576,0.308807,0.962603
187876,6000000,279,8.962,401,45,3.000,0.007,2.424,0.007504,0.249777,0.306925,0.962465
188684,6000000,280,17.214,808,47,6.000,0.007,2.455,0.007027,0.250675,0.308068,0.962344
189232,6000000,281,11.048,548,50,9.000,0.016,2.544,0.006668,0.247868,0.304430,0.962209
190295,6000000,282,20.003,1063,53,14.000,0.013,2.508,0.006504,0.258485,0.317413,0.962048
191708,6000000,283,27.350,1413,52,13.000,0.009,2.504,0.007907,0.286617,0.351188,0.961800
192163,6000000,284,9.217,455,49,6.000,0.013,2.514,0.007363,0.283453,0.347349,0.961613
193085,6000000,285,17.837,922,52,11.000,0.012,2.483,0.007861,0.286364,0.351568,0.961475
193801,6000000,286,15.363,716,47,12.000,0.017,2.448,0.006287,0.281825,0.346615,0.961311
194543,6000000,287,15.843,742,47,8.000,0.011,2.392,0.008845,0.288179,0.352343,0.961166
195474,6000000,288,19.041,931,49,14.000,0.015,2.540,0.007334,0.288148,0.352979,0.960998
196333,6000000,289,17.591,859,49,14.000,0.016,2.438,0.006665,0.289052,0.357732,0.960819
196763,6000000,290,9.531,430,45,5.000,0.012,2.435,0.009446,0.295814,0.361143,0.960690
197435,6000000,291,14.083,672,48,9.000,0.013,2.567,0.005540,0.289180,0.355207,0.960580
197969,6000000,292,9.916,534,54,6.000,0.011,2.511,0.007811,0.289203,0.355479,0.960460
198597,6000000,293,11.803,628,53,3.000,0.005,2.589,0.007256,0.290760,0.356864,0.960343
199463,6000000,294,16.141,866,54,10.000,0.012,2.467,0.006795,0.285113,0.351074,0.960194
200040,6000000,295,11.973,577,48,8.000,0.014,2.494,0.007443,0.293334,0.359311,0.960050
200751,6000000,296,14.378,711,49,11.000,0.015,2.511,0.006758,0.310185,0.381237,0.959921
201461,6000000,297,14.289,710,50,10.000,0.014,2.482,0.007147,0.310758,0.380339,0.959779
202464,6000000,298,19.847,1003,51,15.000,0.015,2.433,0.007319,0.308366,0.377296,0.959608
203022,6000000,299,11.916,558,47,8.000,0.014,2.384,0.006042,0.308368,0.379620,0.959452
204017,6000000,300,20.698,995,48,12.000,0.012,2.542,0.007443,0.308097,0.377869,0.959296
204556,6000000,301,10.914,539,49,7.000,0.013,2.521,0.007613,0.312095,0.381118,0.959143
205155,6000000,302,12.851,599,47,6.000,0.010,2.466,0.007187,0.307767,0.378932,0.959029
205845,6000000,303,17.176,690,40,15.000,0.022,2.472,0.007750,0.312982,0.384039,0.958900
206605,6000000,304,15.645,760,49,9.000,0.012,2.488,0.008628,0.310082,0.378622,0.958755
207273,6000000,305,12.142,668,55,8.000,0.012,2.377,0.006889,0.310703,0.380877,0.958612
207662,6000000,306,7.585,389,51,7.000,0.018,2.452,0.008381,0.313008,0.384263,0.958506
208735,6000000,307,20.894,1073,51,17.000,0.016,2.537,0.006994,0.314804,0.385306,0.958360
209812,6000000,308,21.361,1077,50,17.000,0.016,2.531,0.007568,0.315232,0.388081,0.958146
210413,6000000,309,11.860,601,51,6.000,0.010,2.444,0.006793,0.316264,0.388378,0.957978
211058,6000000,310,12.198,645,53,4.000,0.006,2.569,0.007494,0.315243,0.385439,0.957853
211719,6000000,311,14.406,661,46,7.000,0.011,2.720,0.007083,0.309066,0.380599,0.957722
212309,6000000,312,13.310,590,44,8.000,0.014,2.539,0.005764,0.308980,0.378121,0.957597
212803,6000000,313,10.646,494,46,8.000,0.016,2.476,0.006987,0.313035,0.385198,0.957489
213373,6000000,314,12.136,570,47,7.000,0.012,2.598,0.006735,0.312905,0.382293,0.957382
214060,6000000,315,14.660,687,47,10.000,0.015,2.403,0.007505,0.313229,0.383691,0.957257
214803,6000000,316,16.028,743,46,12.000,0.016,2.493,0.006137,0.309396,0.380395,0.957114
215289,6000000,317,9.899,486,49,4.000,0.008,2.481,0.007917,0.323748,0.398694,0.956991
216061,6000000,318,14.495,772,53,8.000,0.010,2.569,0.008048,0.324973,0.399316,0.956865
216735,6000000,319,13.427,674,50,8.000,0.012,2.466,0.007356,0.328425,0.404980,0.956720
217490,6000000,320,17.036,755,44,10.000,0.013,2.568,0.006765,0.328384,0.402999,0.956578
217938,6000000,321,10.353,448,43,5.000,0.011,2.527,0.007253,0.324819,0.399500,0.956457
218446,6000000,322,10.337,508,49,9.000,0.018,2.478,0.006330,0.329440,0.402829,0.956362
219045,6000000,323,11.743,599,51,7.000,0.012,2.508,0.007367,0.325203,0.397597,0.956251
219739,6000000,324,13.131,694,53,11.000,0.016,2.477,0.005948,0.330644,0.404474,0.956122
220639,6000000,325,17.698,900,51,9.000,0.010,2.521,0.008008,0.340963,0.415794,0.955962
221196,6000000,326,12.286,557,45,1.000,0.002,2.539,0.006427,0.340607,0.417508,0.955817
221971,6000000,327,16.884,775,46,5.000,0.006,2.481,0.008028,0.340915,0.417109,0.955684
222664,6000000,328,15.983,693,43,9.000,0.013,2.511,0.007141,0.332430,0.407125,0.955537
223465,6000000,329,20.476,801,39,10.000,0.012,2.558,0.007396,0.342392,0.419670,0.955387
224154,6000000,330,15.632,689,44,6.000,0.009,2.538,0.006476,0.338110,0.413729,0.955238
224790,6000000,331,14.384,636,44,8.000,0.013,2.453,0.007455,0.339672,0.416281,0.955106
225571,6000000,332,16.532,781,47,12.000,0.015,2.522,0.007472,0.357315,0.437176,0.954964
226371,6000000,333,16.475,800,49,13.000,0.016,2.559,0.008550,0.370726,0.454221,0.954806
227003,6000000,334,13.050,632,48,8.000,0.013,2.494,0.008015,0.368250,0.450815,0.954663
227395,6000000,335,8.158,392,48,7.000,0.018,2.421,0.007433,0.365872,0.447542,0.954560
228195,6000000,336,14.501,800,55,5.000,0.006,2.444,0.007267,0.360478,0.439767,0.954441
228621,6000000,337,7.919,426,54,7.000,0.016,2.568,0.008265,0.366480,0.449396,0.954318
229250,6000000,338,11.776,629,53,9.000,0.014,2.488,0.007161,0.366664,0.449415,0.954213
229643,6000000,339,7.373,393,53,7.000,0.018,2.519,0.008103,0.369118,0.449141,0.954111
230350,6000000,340,13.854,707,51,10.000,0.014,2.482,0.007303,0.372634,0.455918,0.954001
230944,6000000,341,12.850,594,46,12.000,0.020,2.338,0.006652,0.377696,0.462087,0.953871
231782,6000000,342,18.800,838,45,12.000,0.014,2.646,0.007299,0.378561,0.462794,0.953728
232170,6000000,343,8.681,388,45,4.000,0.010,2.497,0.007851,0.379583,0.463779,0.953605
232891,6000000,344,17.122,721,42,9.000,0.012,2.610,0.007000,0.382052,0.466554,0.953494
233588,6000000,345,16.942,697,41,14.000,0.020,2.426,0.006140,0.375073,0.458337,0.953352
234218,6000000,346,15.874,630,40,7.000,0.011,2.473,0.007725,0.382176,0.467605,0.953220
235371,6000000,347,27.637,1153,42,10.000,0.009,2.454,0.006463,0.385301,0.470696,0.953041
235897,6000000,348,12.471,526,42,4.000,0.008,2.532,0.006857,0.390275,0.476599,0.952873
