episode,steps,reward
0,420,6.0
1,1131,7.0
2,1941,10.0
3,2809,11.0
4,3312,4.0
5,4071,12.0
6,4770,9.0
7,5433,7.0
8,6247,12.0
9,7010,11.0
10,7994,12.0
11,8816,17.0
12,9308,8.0
13,10141,12.0
14,10519,5.0
15,11199,9.0
16,11698,5.0
17,12787,16.0
18,13317,5.0
19,14093,11.0
20,14684,8.0
21,15181,6.0
22,16089,14.0
23,16605,8.0
24,17203,9.0
25,18087,18.0
26,18432,5.0
27,19136,7.0
28,19794,8.0
29,20493,9.0
30,21051,7.0
31,21685,8.0
32,22179,4.0
33,22804,6.0
34,23390,10.0
35,23902,10.0
36,24787,21.0
37,25503,12.0
38,26148,12.0
39,26887,10.0
40,28064,13.0
41,28668,5.0
42,29281,9.0
43,29825,8.0
44,30484,8.0
45,31115,11.0
46,31975,17.0
47,32302,3.0
48,32909,7.0
49,33295,7.0
50,34138,9.0
51,34670,5.0
52,35269,11.0
53,35913,6.0
54,36709,12.0
55,37314,4.0
56,38120,12.0
57,39061,17.0
58,40046,14.0
59,40743,8.0
60,41420,7.0
61,41808,6.0
62,43010,12.0
63,43639,7.0
64,44227,10.0
65,45125,17.0
66,46106,25.0
67,46740,8.0
68,47636,16.0
69,48269,3.0
70,49275,18.0
71,50078,12.0
72,50874,14.0
73,51545,7.0
74,52192,6.0
75,52710,7.0
76,53148,4.0
77,53987,12.0
78,55198,12.0
79,55901,11.0
80,56587,15.0
81,57129,6.0
82,58042,19.0
83,59078,19.0
84,60008,15.0
85,60596,8.0
86,61288,8.0
87,61774,4.0
88,62349,11.0
89,63013,11.0
90,64140,15.0
91,64745,8.0
92,65457,15.0
93,66684,24.0
94,68059,13.0
95,68768,8.0
96,69391,6.0
97,70154,11.0
98,70756,6.0
99,72083,13.0
100,72461,9.0
101,73237,7.0
102,74013,11.0
103,75111,19.0
104,75733,7.0
105,76255,8.0
106,76997,14.0
107,77630,10.0
108,77985,7.0
109,78655,10.0
110,79147,5.0
111,79736,5.0
112,80370,8.0
113,80884,6.0
114,81430,4.0
115,82067,6.0
116,82541,1.0
117,83423,15.0
118,83991,7.0
119,84503,7.0
120,85018,5.0
121,85646,6.0
122,86358,7.0
123,87006,10.0
124,87393,5.0
125,88369,12.0
126,89058,6.0
127,89687,6.0
128,90915,18.0
129,91471,8.0
130,92615,23.0
131,93149,10.0
132,94245,18.0
133,94894,8.0
134,96442,17.0
135,97262,9.0
136,98453,19.0
137,99164,10.0
138,99827,10.0
139,100863,18.0
140,101388,8.0
141,101947,4.0
142,103117,20.0
143,103911,11.0
144,104259,4.0
145,105097,8.0
146,105482,8.0
147,106296,9.0
148,106964,8.0
149,107636,9.0
150,108325,10.0
151,109240,12.0
152,110190,14.0
153,110807,11.0
154,111600,9.0
155,112480,11.0
156,113066,7.0
157,113992,11.0
158,114512,8.0
159,115316,13.0
160,115954,10.0
161,116437,8.0
162,117451,13.0
163,118354,10.0
164,119219,13.0
165,119865,10.0
166,120618,11.0
167,121554,16.0
168,122404,12.0
169,123929,17.0
170,124489,7.0
171,125274,14.0
172,125790,7.0
173,126748,18.0
174,127400,8.0
175,128829,15.0
176,129800,17.0
177,130434,7.0
178,131003,10.0
179,131664,18.0
180,132704,13.0
181,133432,14.0
182,134416,19.0
183,134983,8.0
184,135630,9.0
185,136359,11.0
186,137003,12.0
187,137651,9.0
188,138385,12.0
189,139230,14.0
190,139745,6.0
191,140093,4.0
192,140465,6.0
193,140903,5.0
194,141440,8.0
195,142218,18.0
196,143078,8.0
197,143600,7.0
198,144480,16.0
199,144854,6.0
200,145410,10.0
201,146049,11.0
202,146521,7.0
203,147318,13.0
204,147838,3.0
205,148307,6.0
206,148921,16.0
207,149457,6.0
208,150421,14.0
209,151003,4.0
210,151534,9.0
211,151956,6.0
212,152610,11.0
213,153091,3.0
214,153719,7.0
215,154309,7.0
216,155090,9.0
217,155725,8.0
218,156848,27.0
219,157379,9.0
220,157773,5.0
221,158350,9.0
222,158982,11.0
223,159624,6.0
224,160036,6.0
225,160619,8.0
226,161254,9.0
227,162039,11.0
228,162711,15.0
229,163351,9.0
230,164526,13.0
231,164965,4.0
232,165557,8.0
233,166194,8.0
234,167295,21.0
235,168329,16.0
236,168950,7.0
237,170137,14.0
238,170717,9.0
239,171368,10.0
240,172118,15.0
241,172867,17.0
242,173374,10.0
243,173760,6.0
244,174632,11.0
245,175164,9.0
246,175671,8.0
247,176399,13.0
248,177215,16.0
249,178448,27.0
250,179072,10.0
251,180080,21.0
252,180440,8.0
253,181091,16.0
254,181473,6.0
255,182131,8.0
256,182598,8.0
257,183201,10.0
258,183646,6.0
259,184163,6.0
260,184816,10.0
261,185250,3.0
262,185873,7.0
263,186874,14.0
264,187546,12.0
265,188038,7.0
266,188423,9.0
267,189324,15.0
268,190101,14.0
269,190835,13.0
270,191213,6.0
271,191779,9.0
272,192608,11.0
273,193091,6.0
274,193979,18.0
275,195085,23.0
276,195660,9.0
277,196290,10.0
278,196781,7.0
279,198075,24.0
280,198591,8.0
281,199033,7.0
282,199492,7.0
283,200365,16.0
284,200745,5.0
285,201363,9.0
286,202132,13.0
287,202765,6.0
288,204113,16.0
289,204742,12.0
290,205391,9.0
291,206127,12.0
292,206875,13.0
293,207301,8.0
294,208488,17.0
295,209767,28.0
296,210634,15.0
297,211032,6.0
298,211728,7.0
299,212637,18.0
300,213414,12.0
301,213944,8.0
302,214995,18.0
303,215720,12.0
304,216203,8.0
305,216731,10.0
306,217301,11.0
307,218240,17.0
308,218834,12.0
309,219867,16.0
310,221036,18.0
311,221576,7.0
312,222327,12.0
313,222908,10.0
314,223387,8.0
315,223962,10.0
316,224825,16.0
317,225320,10.0
318,225827,7.0
319,226604,12.0
320,227286,13.0
321,228235,19.0
322,229306,13.0
323,230121,11.0
324,230510,6.0
325,231655,18.0
326,232671,19.0
327,233983,32.0
328,234449,10.0
329,235252,12.0
330,235918,11.0
331,236366,8.0
332,237147,14.0
333,237688,7.0
334,238206,8.0
335,238853,15.0
336,239419,7.0
337,240038,11.0
338,240529,5.0
339,241162,11.0
340,241767,10.0
341,242662,16.0
342,243605,23.0
343,244730,23.0
344,245427,11.0
345,246472,16.0
346,247090,11.0
347,248146,20.0
348,249131,17.0
349,249484,3.0
350,250108,10.0
351,250496,7.0
352,251935,13.0
353,252815,14.0
354,253690,13.0
355,254202,12.0
356,254743,9.0
357,255452,12.0
358,256417,13.0
359,256945,9.0
360,257463,11.0
361,258336,16.0
362,258973,11.0
363,259638,11.0
364,260149,12.0
365,260826,11.0
366,261408,10.0
367,262149,12.0
368,263066,18.0
369,263592,7.0
370,264379,13.0
371,265038,12.0
372,265698,11.0
373,266648,26.0
374,267452,16.0
375,268087,10.0
376,268993,18.0
377,269786,17.0
378,270758,21.0
379,271814,23.0
380,272540,13.0
381,273195,14.0
382,274109,12.0
383,274721,11.0
384,275654,18.0
385,276233,11.0
386,276874,10.0
387,277483,11.0
388,278010,10.0
389,278769,17.0
390,279429,12.0
391,280594,30.0
392,281065,6.0
393,281594,8.0
394,282150,8.0
395,282785,11.0
396,283357,11.0
397,284066,13.0
398,285078,27.0
399,285769,13.0
400,286689,16.0
401,287329,10.0
402,288268,23.0
403,288751,10.0
404,289425,12.0
405,290506,19.0
406,291244,12.0
407,291838,10.0
408,292478,11.0
409,293211,15.0
410,293918,12.0
411,294421,10.0
412,294832,6.0
413,295171,4.0
414,296217,16.0
415,296856,12.0
416,297633,13.0
417,298775,27.0
418,299447,15.0
419,300185,12.0
420,300742,9.0
421,301676,15.0
422,302379,12.0
423,304294,13.0
424,304902,11.0
425,306501,30.0
426,307392,17.0
427,308302,14.0
428,309166,15.0
429,310048,17.0
430,310733,12.0
431,311304,11.0
432,312082,13.0
433,313076,16.0
434,313924,21.0
435,314501,9.0
436,315410,19.0
437,316618,22.0
438,317280,13.0
439,317906,10.0
440,319023,26.0
441,319813,12.0
442,320628,16.0
443,322184,33.0
444,322988,17.0
445,323726,17.0
446,324272,10.0
447,324840,10.0
448,325460,11.0
449,326217,13.0
450,326599,6.0
451,327296,12.0
452,327895,11.0
453,328667,13.0
454,329063,5.0
455,329924,17.0
456,330497,12.0
457,331512,19.0
458,332281,13.0
459,333291,22.0
460,333667,7.0
461,334171,7.0
462,334692,8.0
463,335068,6.0
464,335685,10.0
465,336267,9.0
