episode,steps,reward
0,420,6.0
1,1131,7.0
2,1941,10.0
3,2831,12.0
4,3206,6.0
5,3813,7.0
6,4535,6.0
7,5186,8.0
8,6017,9.0
9,6548,6.0
10,7406,13.0
11,7939,7.0
12,8692,10.0
13,9336,10.0
14,9698,6.0
15,10680,15.0
16,11301,9.0
17,11749,5.0
18,12965,23.0
19,14127,11.0
20,14764,11.0
21,15373,11.0
22,15764,5.0
23,16465,9.0
24,17069,4.0
25,17924,14.0
26,18735,12.0
27,19390,11.0
28,19852,9.0
29,20988,14.0
30,21460,7.0
31,22200,13.0
32,23146,14.0
33,24493,17.0
34,25715,21.0
35,26382,8.0
36,26783,6.0
37,27783,13.0
38,28374,4.0
39,29384,10.0
40,29983,8.0
41,30521,5.0
42,31236,8.0
43,32167,12.0
44,32561,8.0
45,33231,6.0
46,33874,10.0
47,34573,10.0
48,35163,11.0
49,35803,5.0
50,36512,8.0
51,37214,9.0
52,37705,10.0
53,38469,12.0
54,39250,12.0
55,39744,7.0
56,40238,8.0
57,41016,12.0
58,41947,19.0
59,42606,10.0
60,43185,7.0
61,43678,6.0
62,44085,7.0
63,44930,10.0
64,45967,15.0
65,46515,11.0
66,47059,5.0
67,47426,5.0
68,48071,6.0
69,48784,6.0
70,49352,5.0
71,50225,12.0
72,50725,8.0
73,51263,9.0
74,51870,6.0
75,52604,10.0
76,53107,2.0
77,53631,7.0
78,54332,12.0
79,54961,7.0
80,55644,6.0
81,56356,9.0
82,57498,13.0
83,58121,8.0
84,58891,10.0
85,59645,10.0
86,60787,14.0
87,61509,10.0
88,61898,4.0
89,62695,9.0
90,64127,15.0
91,65490,14.0
92,66714,15.0
93,67357,6.0
94,67796,7.0
95,68417,7.0
96,69310,13.0
97,70093,14.0
98,70492,7.0
99,71415,17.0
100,71918,7.0
101,73124,22.0
102,73788,9.0
103,74706,12.0
104,75428,9.0
105,75948,6.0
106,76322,2.0
107,76740,7.0
108,77655,12.0
109,78424,10.0
110,79055,10.0
111,79842,12.0
112,80417,5.0
113,81198,12.0
114,81594,3.0
115,82236,8.0
116,83103,17.0
117,84333,15.0
118,84840,5.0
119,85272,6.0
120,85951,8.0
121,86744,11.0
122,87255,6.0
123,88435,16.0
124,89505,15.0
125,90147,4.0
126,90670,7.0
127,91154,6.0
128,91932,9.0
129,92434,7.0
130,93129,10.0
131,94072,11.0
132,94915,14.0
133,95690,8.0
134,96223,7.0
135,96868,5.0
136,97274,4.0
137,98506,17.0
138,99595,18.0
139,100246,13.0
140,101222,15.0
141,101735,6.0
142,102384,12.0
143,103055,8.0
144,103807,8.0
145,104308,8.0
146,104948,11.0
147,105473,5.0
148,106196,12.0
149,106926,13.0
150,107778,14.0
151,108712,19.0
152,109179,8.0
153,109616,8.0
154,110517,13.0
155,111420,8.0
156,112105,8.0
157,112683,6.0
158,113282,9.0
159,113976,6.0
160,114671,9.0
161,115272,6.0
162,115832,6.0
163,116234,7.0
164,116755,5.0
165,117140,6.0
166,117551,5.0
167,117938,3.0
168,118467,7.0
169,119019,5.0
170,119365,3.0
171,120231,13.0
172,120577,3.0
173,121618,22.0
174,122277,8.0
175,122895,9.0
176,123531,11.0
177,124593,24.0
178,125341,9.0
179,126033,10.0
180,127155,15.0
181,127766,8.0
182,128157,2.0
183,129065,18.0
184,129734,14.0
185,130328,6.0
186,130977,10.0
187,131516,5.0
188,131883,3.0
189,132399,3.0
190,132906,6.0
191,133620,10.0
192,134218,11.0
193,134603,6.0
194,135088,3.0
195,136013,14.0
196,136858,13.0
197,137627,12.0
198,138254,8.0
199,139184,13.0
200,139818,14.0
201,140443,9.0
202,141080,7.0
203,141778,8.0
204,142593,13.0
205,142976,4.0
206,143583,12.0
207,143948,6.0
208,144491,7.0
209,145188,10.0
210,145562,3.0
211,146165,10.0
212,147737,29.0
213,148391,9.0
214,148910,3.0
215,149446,5.0
216,150480,16.0
217,150909,4.0
218,151889,11.0
219,152569,15.0
220,153168,8.0
221,153807,11.0
222,154269,9.0
223,155164,14.0
224,155981,14.0
225,156363,5.0
226,157146,14.0
227,157658,3.0
228,158281,6.0
229,158718,6.0
230,159301,5.0
231,159847,8.0
232,160313,7.0
233,160955,8.0
234,161505,8.0
235,162190,12.0
236,162571,5.0
237,163178,7.0
238,163969,8.0
239,164471,7.0
240,164983,7.0
241,165718,12.0
242,166162,5.0
243,166579,8.0
244,167568,19.0
245,168185,13.0
246,169129,14.0
247,169780,12.0
248,170179,6.0
249,170697,8.0
250,171093,6.0
251,171605,8.0
252,172167,7.0
253,172646,6.0
254,173392,12.0
255,174436,20.0
256,175056,9.0
257,175740,10.0
258,176958,18.0
259,177447,8.0
260,178095,8.0
261,178937,14.0
262,179306,8.0
263,179696,5.0
264,180080,3.0
265,180459,8.0
266,181308,8.0
267,181831,5.0
268,182310,6.0
269,182741,2.0
270,183645,10.0
271,184095,6.0
272,184728,8.0
273,185126,7.0
274,185792,8.0
275,186177,7.0
276,186670,7.0
277,187310,12.0
278,188002,8.0
279,188740,12.0
280,189120,5.0
281,189565,6.0
282,189990,4.0
283,190444,8.0
284,191855,24.0
285,192351,9.0
286,192751,5.0
287,193846,12.0
288,194643,13.0
289,195535,13.0
290,196145,8.0
291,197154,20.0
292,197658,7.0
293,198595,19.0
294,199567,19.0
295,199911,4.0
296,200284,5.0
297,200922,9.0
298,201785,13.0
299,202327,7.0
300,202805,8.0
301,203942,14.0
302,204573,12.0
303,205076,11.0
304,205478,6.0
305,206330,15.0
306,206725,8.0
307,207324,6.0
308,208479,18.0
309,209002,6.0
310,209505,6.0
311,210035,9.0
312,210819,13.0
313,211537,9.0
314,211938,4.0
315,212320,7.0
316,212932,8.0
317,213469,11.0
318,214061,6.0
319,214745,15.0
320,215104,6.0
321,215730,14.0
322,216841,17.0
323,217834,17.0
324,218576,17.0
325,219111,11.0
326,219764,13.0
327,220409,11.0
328,221074,10.0
329,221688,9.0
330,222416,11.0
331,222956,8.0
332,223938,18.0
333,224592,10.0
334,225514,22.0
335,226227,9.0
336,226684,8.0
337,227636,14.0
338,228144,10.0
339,228668,11.0
340,229308,12.0
341,230027,15.0
342,230535,3.0
343,231033,5.0
344,231729,8.0
345,232241,6.0
346,233179,17.0
347,234353,25.0
348,235246,15.0
349,235778,5.0
350,236314,6.0
351,237086,17.0
352,238223,20.0
353,239385,11.0
354,239745,4.0
355,240961,21.0
356,241768,14.0
357,242490,9.0
358,243034,10.0
359,243532,7.0
360,244060,7.0
361,244601,12.0
362,245575,15.0
363,246103,10.0
364,246489,8.0
365,247238,18.0
366,248218,19.0
367,248861,12.0
368,249272,8.0
369,249856,11.0
370,250445,7.0
371,251355,19.0
372,251763,9.0
373,252603,15.0
374,253379,12.0
375,253888,8.0
376,254590,12.0
377,255373,14.0
378,255897,9.0
379,256297,8.0
380,256634,6.0
381,257392,16.0
382,257776,6.0
383,258559,12.0
384,259275,11.0
385,259801,11.0
386,260288,8.0
387,260837,9.0
388,261434,10.0
389,262079,12.0
390,262560,9.0
391,263331,12.0
392,263819,9.0
393,264317,9.0
394,264719,6.0
395,265443,11.0
396,265973,11.0
397,266515,10.0
398,267333,12.0
399,267932,10.0
400,268460,8.0
401,269287,18.0
402,270113,20.0
403,270758,12.0
404,271518,14.0
405,272010,6.0
406,272669,12.0
407,273506,19.0
408,274055,11.0
409,274843,14.0
410,275468,10.0
411,276176,12.0
412,277279,14.0
413,278198,10.0
414,278836,10.0
415,279299,9.0
416,279966,11.0
417,280636,12.0
418,281396,16.0
419,282088,12.0
420,282601,10.0
421,283577,13.0
422,284500,18.0
423,285060,12.0
424,285578,6.0
425,286798,27.0
426,287460,13.0
427,288276,14.0
428,289359,16.0
429,289730,8.0
430,290236,9.0
431,290615,6.0
432,291312,12.0
433,292000,16.0
434,292641,8.0
435,293275,13.0
436,293983,14.0
437,294909,17.0
438,295850,19.0
439,296563,11.0
440,297322,14.0
441,297902,13.0
442,298689,13.0
443,299380,10.0
444,300219,14.0
445,300779,9.0
446,301528,13.0
447,302287,11.0
448,302924,12.0
449,303454,10.0
450,304174,15.0
451,304760,11.0
452,305577,15.0
453,306319,15.0
454,306845,9.0
455,307434,11.0
456,307951,9.0
457,308854,16.0
458,309651,12.0
459,310686,20.0
460,311368,9.0
461,312085,12.0
462,312781,13.0
463,313488,12.0
464,314200,12.0
465,314740,11.0
